class function:nsubj
tupl object:dep
bag number:compound
field num number:compound
number tupl:conj
field number:nmod
tupl klass:compound
klass object:nsubj
field schema:compound
schema determin:obj
resourc field schema field schema:compound
field schema schema:nmod
field schema:compound
schema translat:obj
field schema:compound
schema determin:obj
object schema:nmod
field schema:compound
schema determin:obj
