java program:compound
file overrid:obl
param paramet:nmod
paramet valu:compound
valu overrid:conj
param file file:compound
file valu:dep
paramet set:compound
clone creat:obj
current dag:amod
dag clone:nmod
graph object:compound
object dag:dep
clone dag:acl
current dag:amod
dag clone:nmod
queri regist:dep
pig runtim:compound
runtim queri:nmod
queri read:nsubj
file read:obl
read file:dep
queri read:obj
pig file:compound
script file:compound
file regist:dep
paramet substitut:nsubj
file paramet:nmod
valu substitut:obl
param valu:nmod
file pig:compound
pig file:compound
script file:compound
file param:nsubj
paramet valu:compound
valu substitut:conj
pig file:compound
script file:compound
file regist:dep
paramet substitut:nsubj
file paramet:nmod
valu substitut:obl
paramet file:compound
file valu:nmod
file param file:compound
pig param file:compound
script param file:compound
file param file:compound
param file substitut:obj
file param file:dep
paramet set:compound
pig file:compound
script file:compound
file regist:dep
paramet substitut:nsubj
file paramet:nmod
valu substitut:obl
map valu:nmod
paramet file:compound
file substitut:obl
file valu:conj
valu file:dep
param substitut:obl
map overrid:nsubj
overrid param:acl
valu overrid:obj
paramet file:compound
file overrid:obl
paramet file:compound
pig script:compound
script param:nsubj
param file:acl
paramet valu:compound
valu substitut:conj
param file file:compound
file valu:dep
paramet set:compound
intend test:csubj
list print:obj
alias list:nmod
current script:amod
pig latin:compound
latin script:compound
script print:obl
output written:nsubj
schema write:obj
alia write:obl
alia written:nsubj
schema alia:dep
schema written:obj
alia schema:nmod
dump alia:acl
schema write:obj
nest alia write:obl
alia denot:obl
nest alia alia:dep
schema alia:dep
alia nest alia:appos
schema written:nsubj
written nest alia:acl
schema written:obj
alia schema:nmod
dump alia:acl
hadoop prioriti:compound
job prioriti:compound
prioriti set:obj
valu translat:nsubj
prioriti valu:compound
valid valu:amod
pig latin:compound
latin script:compound
script execut:obj
includ alia:case
alia execut:conj
filter return:csubj
sort filter:conj
sort return:csubj
data filter:obj
alia open:nsubj
iter open:obj
iter open:obl
tupl iter:nmod
return tupl:acl
script return:obl
inform provid:obj
pig queri:compound
queri execut:nsubj
execut provid:advcl
develop focuss:nsubj
averag user:amod
explain alia:acl
stream print stream:compound
write print stream:dep
explan write:obj
inform provid:obj
pig queri:compound
queri execut:nsubj
execut provid:advcl
explain alia:acl
format print:nsubj
explain format:acl
text print:advcl
plan print:nsubj
plain text:amod
text print:obl
execut plan:compound
plan print:nsubj
dot format:compound
format print:obl
verbos control:amod
control treat:nsubj
amount control:dep
inform amount:nmod
print control:acl
mark execut print:obj
set print:advcl
explain treat:ccomp
call explain:obl
execut explain:xcomp
respoect execut:obl
pend store:amod
store mark:nsubj
mark respoect:acl
complet mark:advcl
lps ep:csubj
stream lps:obj
print lps:xcomp
logic tree:amod
tree print:obj
stream ep:obj
print ep:xcomp
execut engin tree:compound
tree print:obj
null print:ccomp
print dir:csubj
file print:obl
directori dir:obj
print dir:xcomp
execut engin tree:compound
tree print:obj
unus capac:amod
byte capac:compound
capac return:dep
hdfs filesystem:compound
filesystem capac:nmod
replic factor:compound
vari factor:acl
file vari:obl
file vari:xcomp
data fit:nsubj
set data:dep
fit determin:advcl
hdfs fit:obl
result divid:obj
call result:nmod
specif set:amod
replic set:compound
set divid:obl
unus capac:amod
byte capac:compound
file system:compound
system capac:nmod
length return:dep
file length:nmod
byte file:nmod
exist length:acl
hdfs exist:obl
account exist:dep
replic account:nmod
filenam length:compound
file length:obl
byte file:nmod
file exist:nsubj
exist test:ccomp
filenam test:nsubj
test fals:dep
true test:xcomp
file exist:nsubj
exist test:advcl
file delet:obj
delet filenam:acl
true delet:xcomp
file renam:obj
sourc file:compound
renam file:acl
true renam:xcomp
dir directori:compound
content list:obj
directori content:nmod
list array:compound
array directori:nmod
string array:nmod
map return:obj
logic plan:amod
resourc reclaim:obj
pig server instanc:nmod
method delet:nsubj
temporari file:amod
file delet:obj
generat file:acl
current thread:amod
thread generat:obl
execut generat:advcl
pig command:compound
command execut:obj
current alias:amod
alias set:nmod
execut compil:conj
current plan:amod
plan compil:obj
common method:amod
launch method:acl
job launch:obj
logic plan:amod
plan launch:obl
logic plan:amod
string plan:dep
pig stat object:compound
test note:nmod
return data:compound
method call:obj
queri script:compound
script regist:nsubj
regist call:advcl
queri pars:nsubj
compil pars:dep
mode compil:obl
expect mode:acl
statement expect:obj
valid statement:acl
enter valid:advcl
set pars:parataxis
skip set:ccomp
regist pars:advcl
queri regist:obj
batch skip pars regist batch:compound
mode skip pars regist batch:compound
skip pars regist batch queri:nmod
method call:obj
count method:acl
execut store:amod
store count:obj
raw plan:amod
plan alia:nmod
plan build:obj
alia plan:nmod
extra branch:amod
child branch:compound
alia branch:nmod
depend branch:amod
store remov:obj
execut store:acl
plan execut:obl
statement accumul:obj
previous statement:amod
queri statement:compound
statement accumul:obl
generat accumul:conj
raw plan:amod
plan generat:obj
accumul statement:amod
pig statement:compound
statement pars:obj
generat pars:conj
plan generat:obj
method check:compound
multipl sink:amod
sink check:nmod
store check:appos
file base:obl
base locat:amod
runtim store op:compound
store op throw:obj
