ident check:compound
iter equival:compound
equival iter:compound
equival return:dep
return equival:dep
iter return:obl
return iter:obl
duplic item:amod
item return:obl
return item:obl
remov item:acl
default compar:compound
compar default:compound
origin iter:amod
exhaust element:obl
uniqu valu:amod
determin valu:obj
return iter:nsubj
uniqu valu:amod
valu iter:nmod
iter valu:nmod
modifi collect:obj
remov collect:acl
duplic item:amod
remov item:obj
default compar:compound
compar default:compound
modifi list:obj
remov list:acl
duplic item:amod
remov item:obj
default compar:compound
compar default:compound
remov duplic:obj
default compar:compound
compar default:compound
true mutat:nsubj
true work:advcl
work true:advcl
modifi work:advcl
work modifi:advcl
origin object:amod
modifi object:obj
return work:advcl
work return:advcl
return modifi:conj
modifi return:conj
fals mutat:nsubj
fals return:advcl
return fals:advcl
return collect:nsubj
leav return:xcomp
return leav:xcomp
origin leav:obj
leav origin:obj
unchang leav:xcomp
leav unchang:xcomp
remov duplic:obj
remov list:obl
default compar:compound
compar default:compound
true mutat:nsubj
true work:advcl
work true:advcl
modifi work:advcl
work modifi:advcl
origin object:amod
modifi object:obj
return work:advcl
work return:advcl
return modifi:conj
modifi return:conj
fals mutat:nsubj
fals return:advcl
return fals:advcl
return collect:nsubj
leav return:xcomp
return leav:xcomp
origin leav:obj
leav origin:obj
unchang leav:xcomp
leav unchang:xcomp
compar method:acl
groovi compar:nmod
compar groovi:nmod
default number:compound
number default:compound
awar number:obl
awar compar:amod
iter equival:compound
equival iter:compound
equival return:dep
return equival:dep
iter equival:nmod
equival iter:nmod
duplic item:amod
item equival:dep
equival item:dep
remov item:acl
determin duplic:obj
equal item:amod
item equival:dep
equival item:dep
origin iter:amod
process iter:nsubj
process call:obl
singl paramet:amod
pass argument:nsubj
pass element:ccomp
return closur:nsubj
return pass:conj
pass return:conj
return valu:obj
pass item:nsubj
iter item:nmod
item iter:nmod
pass argument:obl
return closur:nsubj
return pass:conj
pass return:conj
int valu:compound
valu int:compound
return valu:obj
indic item:obj
uniqu return:advcl
return uniqu:advcl
iter equival:compound
equival iter:compound
equival return:dep
return equival:dep
iter return:obl
return iter:obl
duplic item:amod
item return:obl
return item:obl
remov item:acl
suppli compar:amod
iter equival:compound
equival iter:compound
equival return:dep
return equival:dep
iter return:obl
return iter:obl
duplic item:amod
item return:obl
return item:obl
remov item:acl
suppli compar:amod
compar order:amod
natur order:amod
element order:nmod
order element:nmod
iter equival:compound
equival iter:compound
equival return:dep
return equival:dep
iter return:obl
return iter:obl
duplic item:amod
item return:obl
return item:obl
remov item:acl
natur order:amod
item order:nmod
order item:nmod
collect return:dep
return collect:dep
remov duplic:acl
natur order:amod
item order:nmod
order item:nmod
determin uniqu:obj
list return:dep
return list:dep
remov duplic:acl
natur order:amod
item order:nmod
order item:nmod
determin uniqu:obj
array return:dep
return array:dep
origin array:amod
remov duplic:acl
suppli compar:amod
remov compar:obl
determin compar:acl
uniqu item:nsubj
uniqu determin:ccomp
determin uniqu:ccomp
compar order:amod
natur order:amod
element order:nmod
order element:nmod
array return:dep
return array:dep
origin array:amod
remov duplic:acl
natur order:amod
item order:nmod
order item:nmod
array item:nmod
item array:nmod
array return:dep
return array:dep
origin array:amod
remov duplic:acl
suppli compar:amod
remov compar:obl
determin compar:acl
uniqu item:nsubj
uniqu determin:ccomp
determin uniqu:ccomp
aggreg structur:amod
type structur:compound
structur type:compound
data type:conj
type data:conj
data structur:compound
structur data:compound
iter structur:obl
pass iter:xcomp
iter pass:xcomp
pass item:obj
pass closur:obl
custom type:compound
type custom:compound
util type:nsubj
util method:obj
provid util:advcl
util provid:advcl
iter method:compound
method iter:compound
provid method:obj
return item:nsubj
result iter:amod
return iter:obl
pass iter:acl
pass closur:obl
aggreg structur:amod
type structur:compound
structur type:compound
data type:conj
type data:conj
data structur:compound
structur data:compound
iter structur:obl
pass iter:xcomp
iter pass:xcomp
pass item:obj
item index:nmod
index item:nmod
pass index:obj
index item:conj
item index:conj
counter index:dep
index counter:dep
start counter:acl
pass closur:obl
iter type:amod
iter type:obl
pass iter:xcomp
iter pass:xcomp
pass item:obj
item index:nmod
index item:nmod
pass index:obj
index item:conj
item index:conj
counter index:dep
index counter:dep
start counter:acl
pass closur:obl
iter type:compound
type iter:compound
iter type:obl
pass iter:xcomp
iter pass:xcomp
pass item:obj
item index:nmod
index item:nmod
pass index:obj
index item:conj
item index:conj
counter index:dep
index counter:dep
start counter:acl
pass closur:obl
iter collect:obl
pass iter:xcomp
iter pass:xcomp
pass item:obj
item index:nmod
index item:nmod
pass index:obj
index item:conj
item index:conj
counter index:dep
index counter:dep
start counter:acl
pass closur:obl
iter list:obl
pass iter:xcomp
iter pass:xcomp
pass item:obj
item index:nmod
index item:nmod
pass index:obj
index item:conj
item index:conj
counter index:dep
index counter:dep
start counter:acl
pass closur:obl
pass iter:xcomp
iter pass:xcomp
pass item:obj
item index:nmod
index item:nmod
pass index:obj
index item:conj
item index:conj
counter index:dep
index counter:dep
start counter:acl
pass closur:obl
iter sort set:obl
pass iter:xcomp
iter pass:xcomp
pass item:obj
item index:nmod
index item:nmod
pass index:obj
index item:conj
item index:conj
counter index:dep
index counter:dep
start counter:acl
pass closur:obl
pass iter:xcomp
iter pass:xcomp
pass item:obj
pass closur:obl
pass iter:xcomp
iter pass:xcomp
pass item:obj
pass closur:obl
iter collect:obl
pass iter:xcomp
iter pass:xcomp
pass item:obj
pass closur:obl
iter list:obl
pass iter:xcomp
iter pass:xcomp
pass item:obj
pass closur:obl
pass iter:xcomp
iter pass:xcomp
pass item:obj
pass closur:obl
iter sort set:obl
pass iter:xcomp
iter pass:xcomp
pass item:obj
pass closur:obl
iter map:acl
revers order:amod
iter order:obl
general guarante:advcl
guarante general:advcl
guarante order:nsubj
map content:compound
content map:compound
process content:nsubj
process order:acl
special form:amod
map form:nmod
form map:nmod
tree map map:appos
map tree map:appos
process content:acl
process revers:obl
natur order:amod
order revers:nmod
revers order:nmod
map order:nmod
order map:nmod
iter map:acl
item index:nmod
index item:nmod
pass index:obj
counter index:dep
index counter:dep
start counter:acl
pass key:obj
pass valu:obj
valu key:conj
key valu:conj
pass index:obj
index key:conj
key index:conj
iter element:obl
list element:nmod
element list:nmod
revers order:amod
order list:nmod
list order:nmod
iter element:obl
array element:nmod
element array:nmod
revers order:amod
order array:nmod
array order:nmod
predic closur:compound
closur predic:compound
valid closur:nsubj
valid determin:advcl
determin valid:advcl
true return:dep
true item:obl
data structur:compound
structur data:compound
structur item:nmod
item structur:nmod
predic closur:compound
closur predic:compound
valid closur:nsubj
valid determin:advcl
determin valid:advcl
true return:dep
true item:obl
iter item:nmod
item iter:nmod
predic closur:compound
closur predic:compound
valid closur:nsubj
valid determin:advcl
determin valid:advcl
true return:dep
true item:obl
iter item:nmod
item iter:nmod
valid iter:nsubj
entri iter:nmod
iter entri:nmod
map entri:nmod
entri map:nmod
check iter:nmod
iter check:nmod
check entri:conj
entri check:conj
predic check:nmod
check predic:nmod
valid entri:obl
pass key:obj
pass valu:obj
valu key:conj
key valu:conj
element iter:nmod
iter element:nmod
collect element:nmod
element collect:nmod
check iter:conj
iter check:conj
true element:nsubj
true check:dep
groovi truth:compound
truth groovi:compound
true truth:obl
element predic:compound
predic element:compound
equival predic:dep
valid iter:nsubj
content iter:nmod
iter content:nmod
object content:nmod
content object:nmod
collect content:nmod
content collect:nmod
collect object:conj
object collect:conj
check iter:nmod
iter check:nmod
check content:conj
content check:conj
predic check:nmod
check predic:nmod
valid element:obl
valid iter:nsubj
content iter:nmod
iter content:nmod
iter content:nmod
content iter:nmod
check iter:nmod
iter check:nmod
check content:conj
content check:conj
predic check:nmod
check predic:nmod
valid element:obl
valid iter:nsubj
content iter:nmod
iter content:nmod
iter content:nmod
check iter:nmod
iter check:nmod
check content:conj
content check:conj
predic check:nmod
check predic:nmod
valid element:obl
valid iter:nsubj
entri iter:nmod
iter entri:nmod
map entri:nmod
entri map:nmod
check iter:nmod
iter check:nmod
check entri:conj
entri check:conj
predic check:nmod
check predic:nmod
valid entri:obl
pass key:obj
pass valu:obj
valu key:conj
key valu:conj
true iter:nsubj
element iter:nmod
iter element:nmod
collect element:nmod
element collect:nmod
check iter:nmod
iter check:nmod
check element:conj
element check:conj
element check:nmod
check element:nmod
groovi truth:compound
truth groovi:compound
true truth:obl
collect iter:nmod
iter collect:nmod
item collect:nmod
collect item:nmod
repres object:nsubj
return object:nsubj
repres item:acl
return item:acl
return repres:conj
repres return:conj
repres item:obj
match item:acl
match filter:obj
call match:xcomp
match call:xcomp
call method:obj
switch statement:compound
statement switch:compound
filter kind:nmod
kind filter:nmod
regular rang:amod
express rang:compound
rang express:compound
class rang:dep
rang class:dep
rang filter:nmod
filter rang:nmod
collect iter:nmod
iter collect:nmod
item collect:nmod
collect item:nmod
return collect:nmod
collect return:nmod
return item:conj
item return:conj
match item:acl
match filter:obj
call match:xcomp
match call:xcomp
call method:obj
switch statement:compound
statement switch:compound
filter kind:nmod
kind filter:nmod
regular rang:amod
express rang:compound
rang express:compound
class rang:dep
rang class:dep
rang filter:nmod
filter rang:nmod
collect iter:nmod
iter collect:nmod
item collect:nmod
collect item:nmod
return collect:nmod
collect return:nmod
return item:conj
item return:conj
match item:acl
match filter:obj
call match:xcomp
match call:xcomp
call method:obj
switch statement:compound
statement switch:compound
filter kind:nmod
kind filter:nmod
regular rang:amod
express rang:compound
rang express:compound
class rang:dep
rang class:dep
rang filter:nmod
filter rang:nmod
collect iter:nmod
iter collect:nmod
item collect:nmod
collect item:nmod
return collect:nmod
collect return:nmod
return item:conj
item return:conj
match item:acl
match filter:obj
call match:xcomp
match call:xcomp
call method:obj
switch statement:compound
statement switch:compound
filter kind:nmod
kind filter:nmod
regular rang:amod
express rang:compound
rang express:compound
class rang:dep
rang class:dep
rang filter:nmod
filter rang:nmod
return iter:nsubj
array iter:nmod
iter array:nmod
item array:nmod
array item:nmod
return collect:obj
item collect:nmod
collect item:nmod
match item:acl
match filter:obj
call match:xcomp
match call:xcomp
call method:obj
switch statement:compound
statement switch:compound
filter kind:nmod
kind filter:nmod
regular rang:amod
express rang:compound
rang express:compound
class rang:dep
rang class:dep
rang filter:nmod
filter rang:nmod
collect iter:nmod
iter collect:nmod
item collect:nmod
collect item:nmod
repres object:nsubj
return object:nsubj
repres item:acl
return item:acl
return repres:conj
repres return:conj
repres item:obj
match item:acl
ident closur:compound
closur ident:compound
filter closur:nmod
closur filter:nmod
return closur:acl
return element:obj
satisfi element:acl
groovi truth:amod
satisfi truth:obj
collect iter:nmod
iter collect:nmod
return iter:acl
return element:obj
match element:acl
ident closur:compound
closur ident:compound
filter closur:nmod
closur filter:nmod
return closur:acl
return element:obj
satisfi element:acl
groovi truth:amod
satisfi truth:obj
collect iter:nmod
iter collect:nmod
return iter:acl
return element:obj
match element:acl
ident closur:compound
closur ident:compound
filter closur:nmod
closur filter:nmod
return closur:acl
return element:obj
satisfi element:acl
groovi truth:amod
satisfi truth:obj
collect iter:nmod
iter collect:nmod
return iter:acl
return element:obj
match element:acl
ident closur:compound
closur ident:compound
filter closur:nmod
closur filter:nmod
return closur:acl
return element:obj
satisfi element:acl
groovi truth:amod
satisfi truth:obj
array iter:nmod
iter array:nmod
return iter:acl
return element:obj
match element:acl
ident closur:compound
closur ident:compound
filter closur:nmod
closur filter:nmod
return closur:acl
return element:obj
satisfi element:acl
groovi truth:amod
satisfi truth:obj
count number:obj
occurr number:nmod
number occurr:nmod
valu occurr:nmod
occurr valu:nmod
item valu:nmod
valu item:nmod
iter item:nmod
item iter:nmod
equal oper:nsubj
valu oper:dep
oper valu:dep
exhaust element:obl
count valu:compound
valu count:compound
determin valu:obj
count number:obj
occurr number:nmod
number occurr:nmod
satisfi occurr:acl
satisfi closur:obj
satisfi item:obl
iter item:nmod
item iter:nmod
exhaust element:obl
count valu:compound
valu count:compound
determin valu:obj
count closur:dep
closur count:dep
iter closur:dep
closur iter:dep
count number:obj
occurr number:nmod
number occurr:nmod
valu occurr:nmod
occurr valu:nmod
iter valu:nmod
valu iter:nmod
equal oper:nsubj
valu oper:dep
oper valu:dep
count closur:dep
closur count:dep
iter closur:dep
closur iter:dep
count number:obj
occurr number:nmod
number occurr:nmod
satisfi occurr:acl
satisfi closur:obj
satisfi iter:obl
count number:obj
occurr number:nmod
number occurr:nmod
satisfi occurr:acl
satisfi closur:obj
satisfi map:obl
pass closur:nsubj
pass key:obj
pass valu:obj
valu key:conj
key valu:conj
count number:obj
occurr number:nmod
number occurr:nmod
valu occurr:nmod
occurr valu:nmod
array valu:nmod
valu array:nmod
equal oper:nsubj
valu oper:dep
oper valu:dep
count number:obj
occurr number:nmod
number occurr:nmod
satisfi occurr:acl
satisfi closur:obj
satisfi array:obl
count number:obj
occurr number:nmod
number occurr:nmod
valu occurr:nmod
occurr valu:nmod
array valu:nmod
valu array:nmod
equal oper:nsubj
valu oper:dep
oper valu:dep
count number:obj
occurr number:nmod
number occurr:nmod
valu occurr:nmod
occurr valu:nmod
array valu:nmod
valu array:nmod
equal oper:nsubj
valu oper:dep
oper valu:dep
count number:obj
occurr number:nmod
number occurr:nmod
valu occurr:nmod
occurr valu:nmod
array valu:nmod
valu array:nmod
equal oper:nsubj
valu oper:dep
oper valu:dep
count number:obj
occurr number:nmod
number occurr:nmod
valu occurr:nmod
occurr valu:nmod
array valu:nmod
valu array:nmod
equal oper:nsubj
valu oper:dep
oper valu:dep
count number:obj
occurr number:nmod
number occurr:nmod
valu occurr:nmod
occurr valu:nmod
array valu:nmod
valu array:nmod
equal oper:nsubj
valu oper:dep
oper valu:dep
count number:obj
occurr number:nmod
number occurr:nmod
valu occurr:nmod
occurr valu:nmod
array valu:nmod
valu array:nmod
equal oper:nsubj
valu oper:dep
oper valu:dep
count number:obj
occurr number:nmod
number occurr:nmod
valu occurr:nmod
occurr valu:nmod
array valu:nmod
valu array:nmod
equal oper:nsubj
valu oper:dep
oper valu:dep
count number:obj
occurr number:nmod
number occurr:nmod
valu occurr:nmod
occurr valu:nmod
array valu:nmod
valu array:nmod
equal oper:nsubj
valu oper:dep
oper valu:dep
iter version:compound
version iter:compound
list version:nmod
version list:nmod
convert iter:obj
convert list:obl
exhaust element:obl
convert iter:obj
convert list:obl
exhaust element:obl
convert enumer:obj
convert list:obl
collat iter:obj
length size:compound
size length:compound
iter variant:compound
variant iter:compound
collat iter:obj
length size:compound
size length:compound
step size:acl
code element:compound
element code:compound
step element:compound
element step:compound
step element:obl
list element:nmod
element list:nmod
iter variant:compound
variant iter:compound
collat iter:obj
length size:compound
size length:compound
remain element:amod
drop element:nsubj
iter element:nmod
iter subdivis:nmod
fals remaind:nsubj
fals drop:advcl
drop fals:advcl
iter variant:compound
variant iter:compound
iter variant:compound
variant iter:compound
aggreg object:amod
iter object:obl
transform object:acl
transform item:obj
transform valu:obl
transform closur:compound
return iter:xcomp
iter return:xcomp
return list:obj
transform valu:amod
valu list:nmod
list valu:nmod
aggreg object:amod
iter object:obl
transform object:acl
transform item:obj
transform valu:obl
return iter:xcomp
iter return:xcomp
return list:obj
item list:nmod
list item:nmod
copi item:acl
origin object:amod
copi object:obl
aggreg object:amod
iter object:obl
transform object:acl
transform item:obj
transform valu:obl
transform closur:compound
ad valu:dep
suppli collector:amod
ad collector:obl
iter collect:obl
transform collect:acl
transform entri:obj
transform valu:obl
transform closur:compound
return list:obj
transform valu:amod
valu list:nmod
list valu:nmod
iter collect:obl
transform collect:acl
transform entri:obj
transform valu:obl
return iter:xcomp
iter return:xcomp
return list:obj
item list:nmod
list item:nmod
copi item:acl
origin collect:amod
copi collect:obl
iter collect:obl
transform collect:acl
transform valu:obj
transform valu:obl
transform closur:compound
ad valu:dep
suppli collector:amod
ad collector:obl
deprec alia:amod
collect nest alia:nmod
alia collect nest:nmod
collect iter:nmod
iter collect:nmod
transform collect:acl
transform valu:obj
transform valu:obl
nest list:amod
list return:dep
return list:dep
transform valu:amod
valu return:nmod
return valu:nmod
transform iter:nsubj
transform iter:dep
transform valu:obj
transform valu:obl
nest list:amod
list return:dep
return list:dep
transform valu:amod
valu return:nmod
return valu:nmod
deprec alia:amod
collect nest alia:nmod
alia collect nest:nmod
iter version:compound
version iter:compound
collect nest version:acl
transform iter:nsubj
transform iter:dep
transform valu:obj
transform valu:obl
transform closur:compound
nest collect:amod
collect return:dep
return collect:dep
transform valu:amod
valu return:nmod
return valu:nmod
iter version:compound
version iter:compound
collect version:nmod
version collect:nmod
iter version:compound
version iter:compound
collect version:nmod
version collect:nmod
item project:dep
project item:dep
sourc collect:compound
collect sourc:compound
collect item:nmod
item collect:nmod
result collect:compound
collect result:compound
concaten item:nmod
item concaten:nmod
concaten collect:conj
collect concaten:conj
flatten concaten:dep
concaten flatten:dep
result collect:amod
collect concaten:dep
concaten collect:dep
ad collect:acl
ad collector:obl
item project:dep
project item:dep
sourc map:compound
map sourc:compound
map item:nmod
item map:nmod
result collect:compound
collect result:compound
collect map:nmod
map collect:nmod
concaten item:nmod
item concaten:nmod
concaten map:conj
map concaten:conj
flatten concaten:dep
concaten flatten:dep
result collect:amod
collect concaten:dep
concaten collect:dep
ad collect:acl
ad collector:obl
item project:dep
project item:dep
sourc map:compound
map sourc:compound
map item:nmod
item map:nmod
result collect:compound
collect result:compound
collect map:nmod
map collect:nmod
concaten item:nmod
item concaten:nmod
concaten map:conj
map concaten:conj
flatten concaten:dep
concaten flatten:dep
result collect:amod
collect concaten:dep
concaten collect:dep
ad collect:acl
ad collect:obl
project collect:dep
collect project:dep
item project:dep
project item:dep
sourc array:compound
array sourc:compound
array item:nmod
item array:nmod
collect array:nmod
array collect:nmod
concaten array:nmod
array concaten:nmod
concaten collect:conj
collect concaten:conj
flatten item:dep
item flatten:dep
result collect:amod
singl list:amod
list collect:nmod
collect list:nmod
project collect:dep
collect project:dep
item project:dep
project item:dep
sourc iter:compound
iter sourc:compound
iter item:nmod
item iter:nmod
collect iter:nmod
iter collect:nmod
concaten iter:nmod
iter concaten:nmod
concaten collect:conj
collect concaten:conj
flatten item:dep
item flatten:dep
result collect:amod
singl list:amod
list collect:nmod
collect list:nmod
iter ad:csubj
ad iter:csubj
iter map:obl
transform map:acl
map entri:compound
entri map:compound
transform entri:obj
transform valu:obl
transform closur:compound
return collector:obj
transform valu:amod
valu collector:nmod
collector valu:nmod
iter map:obl
transform map:acl
map entri:compound
entri map:compound
transform entri:obj
transform valu:obl
transform closur:compound
return list:obj
transform valu:amod
valu list:nmod
list valu:nmod
iter version:compound
version iter:compound
collect entri version:nmod
version collect entri:nmod
collect entri variant:nmod
variant collect entri:nmod
iter collect entri:nmod
collect entri iter:nmod
return map:obj
element list:compound
list element:compound
return list:obj
result key:amod
valu key:conj
key valu:conj
iter version:compound
version iter:compound
collect entri version:nmod
version collect entri:nmod
collect entri variant:nmod
variant collect entri:nmod
iter collect entri:nmod
collect entri iter:nmod
ident closur:compound
closur ident:compound
collect entri variant:nmod
variant collect entri:nmod
iter object:amod
object collect entri:nmod
collect entri object:nmod
ident closur:compound
closur ident:compound
sourc iter:compound
iter sourc:compound
key list:nmod
list key:nmod
valu key:appos
key valu:appos
tupl key:dep
key tupl:dep
object key:dep
key object:dep
object tupl:conj
tupl object:conj
iter version:compound
version iter:compound
collect entri version:nmod
version collect entri:nmod
collect entri variant:nmod
variant collect entri:nmod
iter collect entri:nmod
collect entri iter:nmod
suppli map:amod
destin variant:nmod
variant destin:nmod
transform entri:amod
entri variant:nmod
variant entri:nmod
return map:obj
element list:compound
list element:compound
return list:obj
result key:amod
valu key:conj
key valu:conj
iter version:compound
version iter:compound
collect entri version:nmod
version collect entri:nmod
collect entri variant:nmod
variant collect entri:nmod
iter collect entri:nmod
collect entri iter:nmod
ident closur:compound
closur ident:compound
suppli map:amod
map collect entri:nmod
collect entri map:nmod
map iter:conj
iter map:conj
destin variant:nmod
variant destin:nmod
transform entri:amod
entri variant:nmod
variant entri:nmod
collect entri variant:nmod
variant collect entri:nmod
iter collect entri:nmod
collect entri iter:nmod
ident closur:compound
closur ident:compound
suppli map:amod
map collect entri:nmod
collect entri map:nmod
map iter:conj
iter map:conj
destin variant:nmod
variant destin:nmod
transform entri:amod
entri variant:nmod
variant entri:nmod
collect entri variant:nmod
variant collect entri:nmod
ident closur:compound
closur ident:compound
collect entri variant:nmod
variant collect entri:nmod
ident closur:compound
closur ident:compound
find valu:obj
match find:xcomp
find match:xcomp
closur condit:compound
condit closur:compound
match condit:obj
find item:obj
match find:xcomp
find match:xcomp
ident closur:compound
closur ident:compound
match closur:iobj
groovi truth:amod
match truth:obj
treat repres:dep
repres treat:dep
treat object:obj
iter treat:advcl
treat iter:advcl
iter treat:advcl
treat iter:advcl
iter valu:obl
return repres:conj
repres return:conj
result return:ccomp
return result:ccomp
obtain result:dep
result obtain:dep
call obtain:advcl
obtain call:advcl
call closur:obj
return repres:dep
repres return:dep
return default result:obj
treat object:obj
iter result:advcl
result iter:advcl
iter result:csubj
result iter:csubj
iter valu:obl
repres valu:acl
return valu:acl
return repres:conj
repres return:conj
result treat:ccomp
treat result:ccomp
obtain result:dep
result obtain:dep
call obtain:advcl
obtain call:advcl
null closur:nsubj
return closur:appos
closur return:appos
null call:xcomp
call null:xcomp
find valu:obj
match find:xcomp
find match:xcomp
closur condit:compound
condit closur:compound
match condit:obj
find element:obj
array element:nmod
element array:nmod
match array:acl
closur condit:compound
condit closur:compound
match condit:obj
find item:obj
match find:xcomp
find match:xcomp
ident closur:compound
closur ident:compound
match closur:iobj
groovi truth:amod
match truth:obj
iter collect:obl
call iter:ccomp
iter call:ccomp
call closur:obj
call item:obl
stop iter:ccomp
iter stop:ccomp
stop call:conj
call stop:conj
return call:conj
call return:conj
return stop:conj
stop return:conj
return result:obj
null return:advcl
return null:advcl
return default result:nsubj
iter collect:obl
call iter:ccomp
iter call:ccomp
call closur:obj
call item:obl
stop iter:ccomp
iter stop:ccomp
stop call:conj
call stop:conj
return call:conj
call return:conj
return stop:conj
stop return:conj
return result:obj
null result:nsubj
null return:advcl
return null:advcl
null return:nsubj
return null:nsubj
iter version:compound
version iter:compound
find result version:nmod
version find result:nmod
iter item:compound
item iter:compound
transform item:amod
collect item:nsubj
suppli closur:amod
collect iter:advcl
iter collect:advcl
collect result:obj
iter map:obl
transform map:acl
transform item:obj
suppli closur:amod
