error sql:obl
paramet string:parataxis
default valu:compound
escap valu:compound
charact line:dep
singl charact:amod
charact repres:obj
charact repres:nsubj
sequenc repres:obj
charact sequenc:nmod
wildcard charact:amod
charact escap:obj
extra charact:amod
extra charact:amod
tabl alter:obj
add column:compound
column alter:obl
support column:acl
tabl alter:obj
drop column:compound
column alter:obl
support column:acl
column alias:compound
alias support:nsubj
claus sql:dep
comput column:amod
column provid:obl
requir provid:advcl
jdbc driver:compound
compliant driver:amod
driver return:nsubj
true return:xcomp
concaten null:nsubj
null concaten:nmod
valu concaten:nmod
valu null:conj
jdbc driver:compound
compliant driver:amod
driver return:nsubj
true return:xcomp
convert function:compound
function support:nsubj
sql type:compound
type function:nmod
sql type:compound
support type:acl
convert type:advcl
type convert:obl
type convert:obj
convert type:acl
true convert:advcl
jdbc driver:compound
compliant driver:amod
driver return:nsubj
true return:xcomp
support restrict:advcl
express support:nsubj
order express:nmod
list order:dep
claus column:compound
column order:dep
select column:nmod
form support:nsubj
group form:nmod
claus group:dep
claus column:compound
column group:dep
select column:nmod
group add:nsubj
claus group:dep
column add:obj
column specifi:obj
select column:nmod
escap charact:nsubj
claus charact:nmod
support claus:acl
jdbc driver:compound
compliant driver:amod
driver return:nsubj
true return:xcomp
multipl result set:amod
support execut:dep
multipl transact:amod
transact open:nsubj
connect open:dep
column defin:nsubj
jdbc driver:compound
compliant driver:amod
driver return:nsubj
true return:xcomp
odbc grammar:compound
minimum grammar:compound
sql grammar:compound
grammar support:nsubj
jdbc compliant:dep
compliant driver:amod
driver return:nsubj
true return:xcomp
odbc grammar:compound
core grammar:compound
sql grammar:compound
grammar support:nsubj
odbc grammar:nsubj
extend grammar:amod
sql grammar:compound
support grammar:acl
entri level:compound
level grammar:nsubj
sql grammar:compound
support grammar:acl
jdbc compliant:dep
compliant driver:amod
driver return:nsubj
true return:xcomp
intermedi grammar:amod
sql grammar:compound
support grammar:acl
full grammar:amod
sql grammar:compound
support grammar:acl
sql facil:nsubj
integr facil:compound
enhanc facil:compound
support facil:acl
form outer:nsubj
join outer:dep
support join:dep
full nest:nsubj
outer join:nsubj
join nest:ccomp
support join:dep
limit support:amod
outer support:nmod
join support:dep
support full outer join true:nsubj
databas vendor:compound
vendor term:nmod
prefer term:amod
schema term:nmod
vendor term:compound
databas vendor:compound
vendor term:nmod
prefer term:amod
procedur term:nmod
vendor term:compound
databas vendor:compound
vendor term:nmod
prefer term:amod
catalog term:nmod
vendor term:compound
tabl catalog:conj
separ string:compound
data manipul:compound
manipul statement:compound
procedur statement:compound
call statement:compound
tabl definit:compound
definit statement:compound
index definit:compound
definit statement:compound
privileg statement:compound
definit statement:compound
data manipul:compound
manipul statement:compound
procedur statement:compound
call statement:compound
tabl definit:compound
definit statement:compound
index definit:compound
definit statement:compound
privileg statement:compound
definit statement:compound
posit delet:csubj
support delet:dep
updat posit:obj
support updat:acl
jdbc ad:obl
derbi support:nsubj
type support:obj
select support:nsubj
updat select:nmod
procedur call:compound
call store:obj
store syntax:amod
procedur syntax:compound
escap syntax:compound
support syntax:acl
subqueri support:nsubj
comparison express:compound
express subqueri:nmod
jdbc driver:compound
compliant driver:amod
driver return:nsubj
true return:xcomp
express exist:xcomp
support express:acl
jdbc driver:compound
compliant driver:amod
driver return:nsubj
true return:xcomp
subqueri support:nsubj
statement subqueri:acl
jdbc driver:compound
compliant driver:amod
driver return:nsubj
true return:xcomp
subqueri quantifi:nsubj
express quantifi:obj
support express:acl
jdbc driver:compound
compliant driver:amod
driver return:nsubj
true return:xcomp
correl subqueri:amod
support subqueri:acl
jdbc driver:compound
compliant driver:amod
driver return:nsubj
true return:xcomp
sql union:nsubj
support union:acl
sql union:compound
cursor commit:nsubj
remain cursor:acl
open remain:xcomp
cursor remain:nsubj
remain true:dep
open remain:xcomp
fals remain:parataxis
remain fals:ccomp
open remain:xcomp
cursor remain:nsubj
open remain:xcomp
rollback open:obl
cursor remain:nsubj
remain true:dep
open remain:xcomp
fals remain:parataxis
remain fals:ccomp
open remain:xcomp
statement commit:nsubj
remain statement:acl
open remain:xcomp
statement remain:nsubj
remain true:dep
open remain:xcomp
fals remain:parataxis
remain fals:ccomp
open remain:xcomp
statement remain:nsubj
open remain:xcomp
rollback open:obl
statement remain:nsubj
remain true:dep
open remain:xcomp
fals remain:parataxis
remain fals:ccomp
open remain:xcomp
hex charact:compound
binari liter:obl
liter inlin:amod
liter length:dep
length max:amod
max length:compound
charact length:nmod
liter charact:amod
liter length:dep
length max:amod
column length:compound
length limit:nmod
liter length:dep
length max:amod
maximum number:amod
column number:nmod
group column:nmod
claus group:dep
max number:amod
column number:obl
maximum number:amod
column number:nmod
max column:amod
maximum number:amod
column number:nmod
order column:nmod
claus order:dep
max column:amod
maximum number:amod
column number:nmod
select list:amod
list column:nmod
max column:compound
maximum number:amod
column number:nmod
tabl column:nmod
max column:amod
activ connect:amod
databas time:nmod
max connect:compound
maximum length:amod
cursor length:compound
max length:compound
cursor length:compound
byte length:obl
maximum length:amod
index length:nmod
byte index:nmod
max length:compound
index length:compound
byte length:obl
jdbc ad:obl
maximum length:amod
derbi lob:compound
lob length:nmod
maximum number:amod
byte number:nmod
lob byte:nmod
default valu:compound
valu return:obj
maximum size:amod
size complic:nsubj
clob size:nmod
depend complic:advcl
string valu:compound
valu encod:obj
disk encod:obl
max length:compound
index length:compound
byte length:obl
maximum length:amod
max length:amod
byte length:obl
maximum length:amod
max length:amod
byte length:obl
maximum length:amod
max length:amod
byte length:obl
maximum length:amod
singl row:amod
row length:nmod
max size:compound
row size:compound
byte size:obl
longvarchar includ:obj
longvarbinari includ:obj
longvarbinari longvarchar:conj
blob includ:dep
maximum length:amod
sql statement:compound
statement length:nmod
max length:compound
byte length:obl
activ statement:amod
open time:amod
maximum length:amod
max length:amod
byte length:obl
maximum number:amod
tabl number:nmod
select tabl:nmod
maximum length:amod
max length:amod
byte length:obl
databas level:nmod
default level:compound
transact level:compound
isol level:compound
valu defin:nsubj
default level:compound
isol level:compound
transact support:nsubj
noop commit:ccomp
isol level:compound
transact support:nsubj
support true:dep
databas support:compound
support level:nsubj
transact level:compound
isol level:compound
fals return:xcomp
isol level:compound
level return:obl
support level:acl
higher level:amod
level substitut:nsubj
substitut support:advcl
level defin:nsubj
valu level:dep
data definit:compound
definit statement:compound
data manipul:compound
manipul definit:conj
manipul statement:compound
statement support:nsubj
transact statement:nmod
data manipul:compound
manipul statement:compound
statement support:nsubj
transact statement:nmod
data definit:compound
definit statement:compound
statement forc:nsubj
transact statement:nmod
transact forc:obj
commit forc:xcomp
data definit:compound
definit statement:compound
transact statement:nmod
store descript:acl
result set:compound
set conform:nsubj
odbc specif:compound
specif conform:obl
actual work:amod
procedur work:nmod
function work:nmod
function procedur:conj
metadata call:compound
call procedur:dep
procedur method:compound
paramet descript:compound
execut queri:acl
result set:compound
set conform:nsubj
conform determin:ccomp
jdbc specif:compound
odbc jdbc:conj
odbc specif:compound
specif conform:obl
catalog paramet:nmod
store paramet:amod
procedur paramet:compound
paramet descript:nmod
column result:obj
result set:compound
set conform:nsubj
odbc specif:compound
specif conform:obl
actual work:amod
procedur column work:nmod
metadata call:compound
call procedur column:dep
procedur column method:compound
paramet descript:compound
execut queri:acl
result set:compound
set conform:nsubj
conform determin:ccomp
jdbc specif:compound
odbc jdbc:conj
odbc specif:compound
specif conform:obl
result order:nsubj
schema column:compound
string catalog:nsubj
result set sql:nsubj
row result set:dep
schema sql:compound
descript sql:compound
thrown sql:acl
failur thrown:obl
result order:nsubj
catalog column:compound
string row:nsubj
result set row:amod
singl column:amod
string column:compound
catalog sql:compound
sql column:acl
thrown sql:acl
failur thrown:obl
tabl type:compound
result order:nsubj
tabl type:compound
type order:obl
tabl type:compound
string type:nsubj
tabl type:compound
typic type:amod
type tabl:nsubj
view tabl:dep
system tabl:compound
tabl view:dep
global temporari:amod
temporari view:dep
local temporari:amod
temporari view:dep
alia view:dep
synonym view:appos
row result set:dep
singl column:amod
string column:compound
tabl type:compound
type sql:compound
sql column:acl
thrown sql:acl
failur thrown:obl
tabl column:compound
column descript:nmod
result set:compound
set conform:nsubj
odbc specif:compound
specif conform:obl
actual work:amod
column work:nmod
metadata call:compound
call column:dep
column method:compound
paramet descript:compound
execut queri:acl
result set:compound
set conform:nsubj
conform determin:ccomp
jdbc specif:compound
odbc jdbc:conj
odbc specif:compound
specif conform:obl
tabl set:nmod
optim set:amod
set descript:nmod
column set:nmod
identifi column:acl
row identifi:obj
scope order:obl
result set:compound
set conform:nsubj
odbc specif:compound
specif conform:obl
actual work:amod
row identifi call:compound
metadata call:compound
call work:nmod
row identifi method:amod
paramet descript:compound
queri prefix prefix:compound
append prefix:acl
result set:compound
set conform:nsubj
conform determin:ccomp
jdbc specif:compound
odbc jdbc:conj
odbc specif:compound
specif conform:obl
tabl column:nmod
column descript:nmod
updat descript:acl
valu updat:nsubj
row valu:nmod
result set:compound
set conform:nsubj
odbc specif:compound
specif conform:obl
actual work:amod
version column work:nmod
metadata call:compound
call version column:dep
version column method:compound
paramet descript:compound
execut queri:acl
result set:compound
set conform:nsubj
conform determin:ccomp
jdbc specif:compound
odbc jdbc:conj
odbc specif:compound
specif conform:obl
dictionari check:obl
engin version:nmod
version compat:nsubj
jdbc queri:compound
databas queri:compound
metadata queri:compound
queri version:nmod
compat store:ccomp
version compat:obl
softwar version:nmod
soft mode:amod
upgrad mode:compound
mode happen:advcl
soft mode:amod
upgrad mode:compound
mode chang:obl
metadata queri:compound
queri store:obj
metadata sql:compound
sql read:obj
properti file:compound
file reli:nsubj
system tabl:compound
tabl reli:obl
true mode:dep
soft upgrad:amod
upgrad true:ccomp
tabl column:nmod
primari column:amod
key column:amod
column descript:nmod
primari descript:amod
key descript:amod
column descript:compound
string catalog:nsubj
tabl catalog:compound
null catalog:parataxis
string schema:nsubj
tabl schema:amod
schema catalog:dep
null schema:dep
short number:dep
sequenc number:compound
number string:amod
string schema:dep
catalog column:dep
retriev schema:csubj
catalog retriev:obl
drop retriev:parataxis
select criteria:compound
criteria drop:obl
schema pattern:compound
pattern schema:obj
retriev pattern:dep
schema tabl:compound
tabl retriev:obl
row result set:dep
primari sql:amod
key sql:amod
column sql:compound
descript sql:compound
sql retriev:parataxis
thrown sql:acl
failur thrown:obl
jdbc version:compound
version contrast:nmod
cross refer version:nmod
null valu:amod
standard type:amod
sql type:compound
type descript:nmod
support type:acl
databas support:obl
data type:compound
type map:nsubj
map order:obl
jdbc type:compound
sql type:compound
type map:obl
result set:compound
set conform:nsubj
odbc specif:compound
specif conform:obl
standard type:amod
sql type:compound
type descript:nmod
support type:acl
databas support:obl
fetch queri:acl
inform fetch:obj
result inform:dep
set inform:acl
sql descript:compound
type descript:compound
descript set:obl
tabl indic:nmod
indic descript:nmod
statist descript:nmod
statist indic:conj
type order:obl
result set:compound
set conform:nsubj
odbc specif:compound
specif conform:obl
actual work:amod
index info call:compound
metadata call:compound
call work:nmod
index info method:compound
paramet descript:compound
execut queri:acl
result set:compound
set conform:nsubj
conform determin:ccomp
jdbc specif:compound
odbc jdbc:conj
odbc specif:compound
specif conform:obl
databas support:compound
support type:nsubj
result type:compound
set type:amod
defin type:acl
databas support:compound
support type:nsubj
concurr type:compound
combin type:nmod
set result:acl
type set:obj
defin type:acl
concurr type:compound
type defin:obl
defin type:acl
jdbc determin:compound
determin visibl:nsubj
result set:compound
set updat:nmod
updat determin:nmod
type result:compound
set result:acl
type set:obj
updat visibl:nsubj
visibl true:dep
result visibl:obl
set result:acl
type set:obj
jdbc determin:compound
determin visibl:nsubj
result delet:nsubj
set result:nmod
delet determin:dep
type result:compound
result visibl:nsubj
set result:acl
type set:obj
true set:xcomp
delet true:ccomp
result visibl:obl
set result:acl
type set:obj
jdbc determin:compound
determin visibl:nsubj
result set:compound
set insert:nmod
insert determin:nmod
type result:compound
set result:acl
type set:obj
insert visibl:nsubj
visibl true:dep
result visibl:obl
set result:acl
type set:obj
jdbc determin:compound
determin visibl:nsubj
type result:compound
set result:acl
type set:obj
updat visibl:nsubj
visibl true:dep
result visibl:obl
set result:acl
type set:obj
jdbc determin:compound
determin visibl:nsubj
delet determin:dep
type result:compound
result visibl:nsubj
set result:acl
type set:obj
true set:xcomp
delet true:ccomp
result visibl:obl
set result:acl
type set:obj
jdbc determin:compound
determin visibl:nsubj
type result:compound
set result:acl
type set:obj
insert visibl:nsubj
visibl true:dep
result visibl:obl
set result:acl
type set:obj
jdbc determin:compound
visibl updat:amod
row updat:compound
updat detect:nsubj
detect determin:dep
call detect:advcl
type result:compound
set result:acl
type set:obj
updat detect:nsubj
detect true:dep
resultset type:compound
type detect:obl
jdbc determin:compound
determin detect:nsubj
visibl row:amod
row delet:nsubj
delet determin:acl
call detect:advcl
delet detect return:nsubj
return remov:advcl
fals return:xcomp
delet row:amod
row remov:nsubj
result set:compound
set remov:obl
type result:compound
result set:nsubj
set detect:parataxis
type true:nsubj
true set:xcomp
delet detect:csubj
resultset type:compound
type detect:obl
jdbc determin:compound
visibl insert:amod
row insert:compound
insert detect:nsubj
detect determin:dep
call detect:advcl
type result:compound
set result:acl
type set:obj
insert detect:nsubj
detect true:dep
resultset type:compound
type detect:obl
jdbc return:compound
return true:dep
driver support:nsubj
support true:dep
batch updat:compound
updat return:nsubj
return support:ccomp
fals return:xcomp
jdbc return:nsubj
connect return:obj
produc connect:acl
metadata object:compound
object produc:obj
jdbc method:compound
spec jdbc:dep
jdbc method:compound
packag method:nmod
method jdbc:dep
configur work:obl
jdbc retriev:nsubj
databas support:nsubj
support retriev:ccomp
statement support:obj
pool statement:acl
statement support:nsubj
pool statement:acl
support true:dep
fals support:xcomp
jdbc retriev:nsubj
databas support:nsubj
support retriev:ccomp
savepoint support:obj
savepoint support:nsubj
support true:dep
fals support:parataxis
jdbc retriev:nsubj
databas support:nsubj
support retriev:ccomp
paramet support:obj
callabl statement:amod
statement support:obl
paramet support:nsubj
support true:dep
fals support:parataxis
jdbc retriev:nsubj
multipl object:amod
result set object:compound
return object:acl
callabl statement object:compound
object return:obl
callabl statement object:compound
object return:nsubj
return true:dep
multipl object:amod
result set object:compound
object return:obj
jdbc retriev:nsubj
auto generat:obl
generat key:amod
key retriev:nsubj
statement execut:nsubj
execut retriev:advcl
auto generat:obl
generat key:amod
key retriev:nsubj
retriev true:dep
statement retriev:obl
execut statement:acl
fals statement:amod
jdbc retriev:nsubj
databas support:nsubj
support retriev:ccomp
result holdabl:compound
set holdabl:amod
holdabl support:obj
fals execut:nsubj
execut holdabl:dep
fals holdabl:dep
jdbc retriev:nsubj
default holdabl:compound
holdabl retriev:obj
result set object:compound
object holdabl:nmod
default holdabl:compound
jdbc retriev:nsubj
major number:amod
version number:compound
number retriev:obj
databas number:nmod
databas version:nmod
major version:amod
jdbc retriev:nsubj
minor number:amod
version number:compound
number retriev:obj
databas number:nmod
databas version:nmod
minor version:amod
jdbc retriev:nsubj
major number:amod
jdbc number:compound
version number:compound
number retriev:obj
driver number:nmod
version number:compound
major number:amod
number jdbc:dep
jdbc retriev:nsubj
minor number:amod
jdbc number:compound
version number:compound
number retriev:obj
driver number:nmod
jdbc version:compound
minor version:amod
number minor:obl
sqlstate cli:nsubj
return sqlstate:acl
open cli:compound
open group:compound
group sql:compound
sqlstate type:nmod
embed driver:amod
call return:nsubj
true return:xcomp
lob copi:nmod
lob featur:compound
sql featur:compound
implement featur:acl
jdbc retriev:nsubj
descript retriev:obj
user defin:obl
defin hierarchi:amod
type udt:compound
udt hierarchi:compound
hierarchi descript:nmod
defin hierarchi:acl
schema defin:obl
databas schema:nmod
super relationship:amod
type relationship:compound
relationship model:nsubj
catalog retriev:nsubj
catalog retriev:obl
drop retriev:parataxis
select schema pattern:compound
criteria schema pattern:compound
schema pattern drop:obl
schema pattern:compound
pattern schema pattern:dep
schema type pattern:compound
type pattern retriev:obl
udt pattern:compound
pattern type pattern:dep
result set object:compound
design featur:amod
udt sql:compound
sql featur:compound
implement featur:acl
jdbc retriev:nsubj
descript retriev:obj
tabl hierarchi:compound
hierarchi descript:nmod
defin hierarchi:acl
schema defin:obl
databas schema:nmod
catalog retriev:nsubj
catalog retriev:obl
drop retriev:parataxis
select schema pattern:compound
criteria schema pattern:compound
schema pattern drop:obl
schema pattern:compound
pattern schema pattern:dep
schema type pattern:compound
type pattern retriev:obl
udt pattern:compound
pattern type pattern:dep
result set object:compound
object retriev:nsubj
row sql:nsubj
type sql:compound
descript sql:compound
sql object:acl
databas error:compound
access error:compound
error occur:nsubj
occur sql:advcl
jdbc retriev:nsubj
descript retriev:obj
attribut descript:nmod
type attribut:nmod
user defin:obl
defin type:amod
udt type:dep
catalog schema:conj
catalog match:nsubj
store match:advcl
databas store:obl
retriev match:csubj
search schema pattern:compound
schema pattern narrow:obj
retriev match:csubj
schema retriev:obl
search type pattern:compound
type pattern narrow:obj
store match:advcl
databas attribut pattern:compound
attribut pattern store:obl
attribut pattern:compound
pattern attribut pattern:dep
declar match:advcl
databas declar:obl
result set object:compound
object databas:dep
row sql:nsubj
type sql:compound
descript sql:compound
sql databas:acl
databas error:compound
access error:compound
error occur:nsubj
occur sql:advcl
return jdbc:dep
list return:dep
client list:nmod
info properti:compound
properti return:dep
support properti:acl
driver support:obl
result set:compound
string properti:nsubj
client info:compound
int length:nsubj
maximum length:amod
valu length:nmod
properti valu:nmod
string valu:nsubj
default valu:compound
properti valu:nmod
descript string:compound
string descript:nsubj
properti descript:nmod
result set sort:nsubj
column sort:obl
result set object:compound
object sql:nsubj
row sql:nsubj
support sql:amod
client sql:compound
info sql:compound
properti sql:compound
error occur:nsubj
occur sql:ccomp
result order:nsubj
schema column:compound
schema string:compound
catalog string:nmod
search narrow:obj
catalog schema pattern:compound
search narrow:obj
search narrow:iobj
result set object:compound
object search:dep
row sql:nsubj
schema sql:compound
descript sql:compound
databas error:compound
error occur:nsubj
occur sql:advcl
open close:nsubj
result set open:appos
connect open:dep
close return:dep
error occur:nsubj
occur close:advcl
commit return:dep
enabl commit:advcl
true close:nsubj
embed driver:amod
driver true:nmod
instanc implement:nsubj
implement return:dep
interfac implement:obj
interfac ifac:obj
check ifac:advcl
true check:advcl
implement check:advcl
interfac implement:obj
class implement:nsubj
implement return:dep
interfac implement:obj
interfac ifac:obj
object interfac:dep
implement interfac:acl
interfac implement:obj
databas meta data javadoc:compound
databas meta data javadoc:compound
empti result set:amod
result set support:nsubj
derbi result set:nmod
pseudo column:amod
column support:obj
client driver:compound
driver cach:nsubj
metadata fetch:nsubj
result set:nsubj
set occur:dep
return set:dep
sql return:obl
databas error:compound
error occur:nsubj
queri execut:obj
sps execut:obj
sps queri:conj
sys schema:compound
schema sps:nmod
sps properti:dep
sysibm schema:compound
schema sps:nmod
queri net:compound
true key:advcl
execut key:dep
queri execut:obj
execut properti:appos
queri execut:obj
result set valu:compound
valu sql:compound
databas error:compound
error occur:nsubj
queri execut:obj
sps execut:obj
sps queri:conj
sys schema:compound
schema sps:nmod
result set valu:compound
valu sql:compound
sql queri:dep
databas error:compound
error occur:nsubj
occur key:advcl
store statement:amod
prepar statement:amod
system tabl:compound
key schema:csubj
queri net:compound
true key:advcl
find key:dep
queri find:obj
sysibm schema:compound
schema find:obl
find key:dep
queri find:obj
sys find:obl
prepar statement sql:compound
valu sql:compound
sql schema:obj
databas error:compound
error occur:nsubj
occur schema:advcl
prepar queri:amod
system tabl:compound
prepar statement sql:compound
valu sql:compound
sql queri:dep
databas error:compound
error occur:nsubj
occur queri:acl
connect languag connect context:nmod
connect lcc:obl
queri descript:compound
descript load:dep
queri descript properti:obl
privileg action:amod
action perform:obj
queri descript:compound
descript read:obj
